,mel,afi,d4r,bea,cas,nsc,d6r,mfi,bik,mtt,ddr,mwf,sod,fer,pcr,bog,mor,cha,lta,imf,dzc,can,non,pau,mei,sti,mtn,jbw,stf,aft,bre,lau,gis,ast,nat,ton,dsc,afs,mtw,gme,doh,rth,d8r,ats,abw,dcc,lev,rut,atn,ltl,bph,clo,lov,mso,dnc,rte,phi,d3r,afy,vsv,los,aww,eab,ave
non,0.9959015232094827,0.9990111885200263,0.9883132563095598,0.9929236862105822,0.9981532176121573,0.9987176516774348,0.9865153685329852,0.994339661878256,0.999059126635076,0.9987979022223232,0.9892580917190797,0.963527122124355,0.9759664694673115,0.9978893396887811,0.9970354078781605,0.9984589023909144,0.997146269661783,0.9858285316546364,0.9566740978071063,0.9971329869542983,0.9994140216625536,0.9972560441445412,0.9999999999999999,0.9797606828489397,0.9942714559257798,0.9950702255219444,0.9702453744007176,0.9991735631353661,0.9975805226805825,0.983577722458042,0.994838176658519,0.9958529465683861,0.9862958273808423,0.9300092594028465,0.9884001060931927,0.9980405999890328,0.9954281402164558,0.994993109160772,0.9958064036187659,0.9946023699731958,0.9936201627414715,0.9841718270958504,0.977724197168101,0.9972987151872313,0.9753479308788604,0.9951226756541609,0.9859250071777982,0.9232386198372711,0.9902627788693014,0.9830905849026774,0.9845980543789415,0.878842012267229,0.9939759710170959,0.9943764245574034,0.9325517769063598,0.9531396532945314,0.9877807711695893,0.8783737969614928,0.9788321832650767,0.9909802973998723,0.9289703933185486,0.9909741471372018,0.9850534672854974,0.9619444375545702
pau,0.99222918570577,0.9810960475578676,0.9840267244122335,0.9772542511132815,0.9888749538740561,0.9808515181384467,0.9964668291666958,0.9911610808161113,0.9766920331913483,0.9816569600125044,0.995804058991181,0.9964201761580166,0.9900170997757893,0.9843826092229291,0.9822096828818779,0.980610669538727,0.9871019948026486,0.9983659325324326,0.98950167182635,0.9810296966053299,0.9758159051266175,0.991500138614856,0.9797606828489397,1.0,0.9858823906235501,0.9889448830799343,0.9548166846014897,0.9765844072876603,0.9900636785880129,0.9992091141500677,0.9827242298253835,0.976921674192635,0.9883366287343096,0.8927796705283237,0.9838210157485325,0.9804712661571217,0.9860948725543718,0.9814116934472078,0.9773602264761825,0.9872242820052167,0.9677659003289352,0.997548179963938,0.9989216317280695,0.97911218249466,0.9511785945891094,0.9871504050116904,0.9960509700638939,0.8895750258415052,0.9893382761975349,0.978548065690725,0.9807833892744765,0.8809811260706828,0.9826259371631946,0.9848534246033285,0.9101863468128848,0.9267483643247896,0.9947805594884943,0.8728982314774909,0.9766065266924512,0.9793268501535427,0.8929126604924233,0.9884016365228613,0.9967580310043435,0.9630386227068182
mei,0.9974441909280892,0.9951099651123833,0.9981055859798361,0.9986132778573126,0.9959565087243566,0.9954908839279325,0.9952674802118617,0.9921386467362693,0.9898571367346536,0.9909393727856658,0.9869927259909835,0.9748956230245125,0.9904520283069986,0.9984433373998329,0.9894593001033285,0.9958514902311859,0.9983736575626295,0.9893005921453897,0.9741840269490872,0.9880814932328668,0.993757512360143,0.9964278836011757,0.9942714559257798,0.9858823906235501,0.9999999999999999,0.9991785947297458,0.946639710282204,0.990186999694919,0.997912347360682,0.9883401179046697,0.9993654228648822,0.9978382388689925,0.9810427160825358,0.891899032385522,0.9821253168734243,0.9974090962419974,0.9981664206646127,0.9965924403110543,0.9985593704606284,0.9996539433037924,0.9786226569326535,0.9858245249214611,0.986846641406221,0.9941335915948287,0.9516910073916305,0.9898023467793731,0.98567466688844,0.884477023665914,0.9885997376762667,0.9911906853756864,0.9963323291703836,0.9116163729859629,0.9915401472911767,0.9886532806448509,0.9530892628339931,0.9222814821670305,0.9844531475172101,0.9145248673625216,0.9938461733730162,0.9843828516196683,0.8910041022043708,0.9987493691746523,0.9853613340801156,0.9559470568771425
sti,0.997817407089338,0.9966248588277073,0.9972814371752248,0.9960109744234766,0.9966921599289023,0.9970184398512834,0.9963631769602983,0.9927508951475255,0.991534918720965,0.9927697453034312,0.9909219826180042,0.9793993323444934,0.9918910876403463,0.9988752709558972,0.9906441963963555,0.9972641589485771,0.9976725585693993,0.990955172373263,0.9777721046644897,0.9907710816854031,0.994707233295065,0.9976636580241264,0.9950702255219444,0.9889448830799343,0.9991785947297458,1.0,0.9505932271782485,0.9918097278065028,0.9987292872976382,0.9903675845321326,0.9975987853157361,0.9963370562785594,0.982127710592016,0.8944883721533915,0.9821821833024138,0.9981976069620713,0.9993264900263156,0.9979629365451171,0.9966777933141349,0.9997541628151376,0.9813636289349669,0.9905099186313097,0.9900485577676079,0.9960549900361712,0.954387552838721,0.9910098559037288,0.9875973867773966,0.887892017080101,0.9929952226095163,0.9932805720043377,0.9955062996134875,0.9085944460866052,0.9899092322105618,0.9886379719994962,0.9504048961818656,0.9256318992139133,0.9871723758929705,0.910136393549741,0.991961322772932,0.9833487172134798,0.893914083950374,0.9992094322299119,0.9873887104894205,0.9620481758998074
mtn,0.9648825947103781,0.9641454461604456,0.9298385679461644,0.9409177235466057,0.9716611429210532,0.9617418270955064,0.9449205033797369,0.9767171753255273,0.9769412191814739,0.9786748473886934,0.9731798267417312,0.9309336575846118,0.9179413708292826,0.9571339933453655,0.9814040013166548,0.9596492326433314,0.9624898248622837,0.9645648091509997,0.9048119262957878,0.9801665753240969,0.9651761415051363,0.9679718071008233,0.9702453744007176,0.9548166846014897,0.946639710282204,0.9505932271782485,1.0000000000000002,0.9761572340856288,0.964425299521551,0.9602843056517956,0.9484776646267252,0.9475588997914336,0.9841817816295795,0.985343923437574,0.9849982314463778,0.954765437707192,0.9499652075952544,0.9483733585555282,0.9481192850936974,0.9475740651434539,0.985183163404644,0.9612432584691053,0.943349860120886,0.9600629246293466,0.9975441638495288,0.9808866669698943,0.9736658333255298,0.984509313370818,0.9634205103977851,0.9211245632497828,0.9199590694409971,0.7491956746221405,0.9726340897927583,0.9822898841064465,0.8197668492879849,0.9961527266318072,0.9796675690281088,0.7405248128825377,0.9082208126189684,0.9825537605327967,0.9856479009579281,0.938951636843644,0.9723344527145577,0.9514948574432162
jbw,0.993441657478564,0.9976973457420404,0.9822251265853362,0.9881028245247158,0.9968054070486729,0.9972937568572235,0.9818676906729735,0.9932326510535417,0.999992373503681,0.9995525611423005,0.9890773333151279,0.958668180101617,0.9689867294171246,0.9956717321466105,0.9980297107329699,0.9967785820353501,0.9944698945342214,0.9832736786280631,0.9494703573212174,0.9988366304256674,0.9988958481844014,0.9951359990933502,0.9991735631353661,0.9765844072876603,0.990186999694919,0.9918097278065028,0.9761572340856288,0.9999999999999999,0.9954918181965865,0.980598716178738,0.9905451775058185,0.9920516719605742,0.9865506206626521,0.9391779070341707,0.9888249056909554,0.9959484528230528,0.9921329418414652,0.9931031615646971,0.9920290405267113,0.99077211979924,0.9972942422093655,0.9831143322330615,0.9738636130736472,0.9971007754494854,0.9811972010958159,0.9956600633591428,0.984691333528859,0.9332403267249191,0.9909797383866289,0.9775344374071778,0.9778449149753202,0.862889080033998,0.992336607309983,0.9940980895255718,0.9214017496294443,0.9608254731318866,0.9874239342758884,0.862691958880742,0.9708265820598923,0.9910289798191568,0.9384934823875297,0.9862470489798686,0.9835403600321778,0.9672669092069907
stf,0.9995657982643763,0.9977035624954773,0.9935322387276889,0.9947274511041406,0.9995084152499599,0.9976158978657215,0.9950039826906909,0.9972983045744888,0.9953800380078959,0.9968038620186399,0.994114930554933,0.9777800330439572,0.9866919762207178,0.9988015155607844,0.995737217963612,0.9975072439168167,0.9992685848595764,0.9936850647074931,0.9722489818301027,0.9950471780950899,0.996242731283476,0.9996148373022418,0.9975805226805825,0.9900636785880129,0.997912347360682,0.9987292872976382,0.964425299521551,0.9954918181965865,1.0000000000000002,0.9924009352910327,0.9971228119908928,0.9955807762968667,0.9895674049901455,0.9149019427041571,0.9899629707597696,0.9976220364615042,0.9979053859737538,0.9961631711102241,0.9961786202315593,0.9982673624900046,0.9877581467215282,0.9916390872431057,0.988967385002102,0.9962633013621452,0.9673054947082663,0.9961368506892609,0.9922454349841514,0.9090874645853969,0.9938023825573351,0.9877587705866866,0.9903739774901613,0.8891207913315217,0.9947263654271329,0.9948389430356633,0.9358667236913062,0.9428591764788689,0.9925900166428252,0.8897053093964474,0.985829778893809,0.9907200683558085,0.9144408697985137,0.9963103566057545,0.9918564680279397,0.9650271658475456
aft,0.994808867769652,0.9833239414293019,0.9855523703688458,0.9813112866784027,0.9919504823019883,0.9829385991213925,0.9968585629272979,0.994316915662773,0.9807292757691511,0.9852192981819077,0.9967442804971578,0.9931382612717621,0.9880976545412833,0.9873876399896183,0.9867779599220674,0.9826309694803603,0.9906088976719469,0.9997765479859757,0.9857128554415953,0.9845729309358935,0.979684187835719,0.9936104866359278,0.983577722458042,0.9992091141500677,0.9883401179046697,0.9903675845321326,0.9602843056517956,0.980598716178738,0.9924009352910327,1.0,0.9864478266731085,0.9812948270427622,0.9925249241709037,0.9025726241517669,0.9890975937510804,0.9831288498447304,0.9870096160126732,0.9836156951347341,0.9814856561021458,0.988816694235785,0.972670011895203,0.9968600400098548,0.9975477339151635,0.9818406023200452,0.9585497743971478,0.9911616934630857,0.9983285119017825,0.8984609664012795,0.9899333143813723,0.9766987022055713,0.9817819180628427,0.880149476746739,0.9885239629506386,0.9896240329258836,0.908838781626734,0.9340042467160232,0.9966785583227482,0.8692232906573771,0.9777432169653244,0.9856693206838106,0.902051374120634,0.98915036462129,0.9987119191768554,0.965679708304311
bre,0.9969052438756166,0.9944392771816262,0.9971462983165036,0.999526870554658,0.9957964038661119,0.9946308066103275,0.9930915941417473,0.9920860065645362,0.9902191354795852,0.9908871783525928,0.9847540256716985,0.9699721760460459,0.9868073998297835,0.9980088395810722,0.9900229364883203,0.9949635877767518,0.9986291730776288,0.9878499781040451,0.968946481554794,0.9876687285244887,0.9940595714220152,0.9957651284114826,0.994838176658519,0.9827242298253835,0.9993654228648822,0.9975987853157361,0.9484776646267252,0.9905451775058185,0.9971228119908928,0.9864478266731085,1.0000000000000002,0.9990002989727059,0.9817065996484533,0.897930136252523,0.9836236370142926,0.9967999274450319,0.9964655665335179,0.9950701249356039,0.9994383750650068,0.998359634248089,0.979151855932012,0.9821664566984282,0.9829906815184849,0.9929244342819582,0.9547608954537466,0.9899056157314605,0.9848259031655722,0.8895972114334972,0.9852253348066548,0.9877085060217105,0.994966581477875,0.9100280869914915,0.9937530680615675,0.9899512073216624,0.9505427672436391,0.9258709640832546,0.983389048675762,0.9101675579252045,0.9927147451854835,0.9868365754438937,0.8963647510256635,0.9968429523207933,0.984353939078774,0.9522270939803766
lau,0.9944340766076112,0.9950543149114526,0.9957943092913851,0.9989309036770901,0.994314540795795,0.9953340665729378,0.9892030009156974,0.9888346860296386,0.9916785718737066,0.9912121062287783,0.9819488280310864,0.9631839532764785,0.9827499703442797,0.9982005883551148,0.9897418641099153,0.9956912100993959,0.9969392684622754,0.982919285803425,0.962976826265357,0.9884072916405221,0.9960961496874716,0.9939903398217874,0.9958529465683861,0.976921674192635,0.9978382388689925,0.9963370562785594,0.9475588997914336,0.9920516719605742,0.9955807762968667,0.9812948270427622,0.9990002989727059,1.0,0.9777118168782076,0.8997629303821223,0.9803235115003017,0.9978562530453516,0.995673709416363,0.9961362345017339,0.9995126670448689,0.9968931738076792,0.9813450942172908,0.9786858219371679,0.9777232650289036,0.9944919094025705,0.9560027356239837,0.9881614833206395,0.9802568772112351,0.8903324117299178,0.9843474075075807,0.9869768157236939,0.9938031017570166,0.913181905893616,0.9920015454866572,0.9876604755100401,0.9532393356577132,0.9259112030660562,0.979248983914038,0.9100473201245082,0.9910501836983431,0.9847076501533679,0.8975325451840631,0.9951034021257306,0.9795138162763014,0.9527770639669885
gis,0.992073781190772,0.9821622403999662,0.9717202060342384,0.9760747846422085,0.992689458180074,0.9808931185891024,0.984108327303686,0.9970113650542042,0.9869621653196713,0.9904820373340133,0.9939436394261986,0.9729337033183889,0.9658876086421134,0.9838071676112831,0.9941718071099384,0.9798635913413879,0.9894243707715058,0.9946593155375508,0.9578982491998554,0.9903736238028436,0.9816855149870374,0.9911596184308756,0.9862958273808423,0.9883366287343096,0.9810427160825358,0.982127710592016,0.9841817816295795,0.9865506206626521,0.9895674049901455,0.9925249241709037,0.9817065996484533,0.9777118168782076,1.0,0.9452726567394191,0.9992833776023481,0.9792562965536311,0.978687982617928,0.976942356041567,0.9784149008306714,0.9804327440180622,0.985475560760612,0.9880858358782308,0.9823091176263956,0.9803263004669077,0.9837303638890686,0.9968973171446047,0.9978055926291451,0.9418112437648634,0.985195503829025,0.9579873719894989,0.9650342359382807,0.8334512140373574,0.9946430124033094,0.9974695586550191,0.8776028655278992,0.967460866318167,0.9980415025545678,0.8227363077096501,0.9587892444974154,0.9970282936723852,0.9446958921469066,0.9765570939088133,0.9972455295663397,0.9677560052652431
ast,0.9148703701834301,0.9193255116981669,0.8684891103161272,0.8902780008120613,0.9266699279302893,0.9156552633212188,0.8818545834978364,0.9330668813923706,0.9402204090704378,0.9397919125961217,0.9214375179454452,0.857700756631726,0.8449529647235853,0.9071929680061358,0.9438137137545968,0.9127833285045011,0.9152065284760748,0.909742414958985,0.8231298971054227,0.9409651970457429,0.9238185455147644,0.9197464458398247,0.9300092594028465,0.8927796705283237,0.891899032385522,0.8944883721533915,0.985343923437574,0.9391779070341707,0.9149019427041571,0.9025726241517669,0.897930136252523,0.8997629303821223,0.9452726567394191,1.0,0.9498820832417288,0.9056786756227556,0.8953652865098071,0.8938498726289266,0.9003302115652432,0.8917787754522898,0.9555364649431622,0.9014024784585015,0.8754928629909983,0.9120611858373402,0.9845176817775223,0.9401214410193884,0.9243956765378494,0.9990961432930044,0.9080879578065973,0.8558439444576829,0.8553550053030622,0.6569007532826524,0.9340637590897223,0.9457836859738544,0.7454903824966063,0.9960415716908892,0.9335964682840658,0.6472114651036031,0.8410562674599256,0.9499976561066186,0.9996077104377236,0.8779105330308818,0.9220776911311173,0.8989741346262586
nat,0.9921373586463065,0.9836204192829532,0.971843446987143,0.9788312379049335,0.9934386931701082,0.9823362617038351,0.981677390369024,0.9971176809549717,0.98919549716281,0.9919786245656437,0.9911249939437305,0.9657211886570851,0.9624248971109925,0.9850894576173592,0.9957205592718521,0.981324235538203,0.9908348968356501,0.9919062423489928,0.9507604525017477,0.991416325216143,0.9842086200913925,0.9910410976522024,0.9884001060931927,0.9838210157485325,0.9821253168734243,0.9821821833024138,0.9849982314463778,0.9888249056909554,0.9899629707597696,0.9890975937510804,0.9836236370142926,0.9803235115003017,0.9992833776023481,0.9498820832417288,1.0,0.9808996686419574,0.9789810638714087,0.9778344717197981,0.9813039601598436,0.9809609953739883,0.9880432257207988,0.9839115619522574,0.9774971864930142,0.9818087449519969,0.9862029571365473,0.9975290531428351,0.9953867768680414,0.9457995351834723,0.9833822003243321,0.9568403566420265,0.9650042978540486,0.8317357621221213,0.9967172443942438,0.998760445917655,0.8803886523867015,0.9702516906695358,0.9957742702047749,0.8236776093174633,0.9589172900290143,0.9991180931456357,0.9491679639081677,0.976105855892607,0.9945240008124775,0.9654831566584161
