,mel,afi,d4r,bea,cas,nsc,d6r,mfi,bik,mtt,ddr,mwf,sod,fer,pcr,bog,mor,cha,lta,imf,dzc,can,non,pau,mei,sti,mtn,jbw,stf,aft,bre,lau,gis,ast,nat,ton,dsc,afs,mtw,gme,doh,rth,d8r,ats,abw,dcc,lev,rut,atn,ltl,bph,clo,lov,mso,dnc,rte,phi,d3r,afy,vsv,los,aww,eab,ave
ddr,0.9999965486719463,0.0815634232755576,0.9958602692114041,0.9999983202439219,0.9999961260548466,0.057994670418077224,0.8565707997244696,0.9999934150417302,0.9999971350000397,0.9999945434686339,1.0000000000000004,0.9998766795584975,0.821233585863849,0.9997763702190989,0.9981684667877714,0.06278472870342656,0.9999948045564311,0.832583905000326,0.7418241678530901,0.9997535699718831,0.4998131039907431,0.08423113759395795,0.9999757680937736,0.99947716385821,0.04690600703653117,0.41012846663666164,0.9999846060640101,0.9999960563053858,0.9999996664766346,0.00025564429025092824,0.999996912824975,0.9822039436860306,0.23978689060934769,0.9632383444086179,0.20962064631827476,0.9999931132271731,0.9316737364804052,0.9688877628073681,0.999998303680746,0.5111294657426029,0.9998583155830301,0.9999996629255119,0.9440260778905201,0.548315169163188,0.06086483251714812,0.3345610476472045,0.7041880441119994,0.9999966815016912,4.089733446069346e-06,0.9989732526942743,0.002113032407344697,0.30671537117566144,0.9996917764950428,0.021703066859486756,2.2933369982348725e-05,0.9999882293510678,0.9738106400982658,0.999998813515312,2.3414059612665078e-05,0.9997965103429535,0.006562537901796378,5.281341370716358e-06,0.05165382080124777,5.370298557104982e-05
mwf,0.9999097304860144,0.08158727058797349,0.9957526862493964,0.9999036630094948,0.9999129165110735,0.05801877898305611,0.8566267131631699,0.999915183374119,0.9999091749987761,0.9999151332172745,0.9998766795584975,0.9999999999999998,0.821263313076678,0.999975772980828,0.998981234279001,0.06280842597742708,0.9999185325808916,0.8326025897832627,0.7418134913158148,0.999943750374539,0.4998316098399316,0.08439893753445016,0.9999608877132184,0.9998331720885786,0.04727208239340574,0.41017485437615026,0.9999482496317533,0.9999138700058015,0.9998823958787258,0.0002956328082920759,0.9999108353603868,0.9821164615346885,0.2402056914253735,0.9631210848654185,0.20971476649809326,0.9999229061058796,0.9320451086512614,0.9691292331582163,0.999903497478924,0.5112516541127562,0.9999881570049574,0.9998885093979117,0.9443966553412911,0.5485074552529067,0.0609882651544734,0.33488450613919823,0.7044311518184353,0.999907659569353,2.0029626982575498e-05,0.9993326661166069,0.002482653691907461,0.3067440899656251,0.9999009862057044,0.024438302144113046,7.385939623532749e-05,0.9999404320147008,0.9754116591539105,0.9998540519682012,0.00013000861029869782,0.9999652335329334,0.02138746853607901,2.207004654736354e-05,0.06595084106831872,0.0002470787579434739
sod,0.8212747843625071,0.6286095260815908,0.8694775505198331,0.8212644853086767,0.8212697034062745,0.6102884554394022,0.9920946180439147,0.8213015189620628,0.8212536177668366,0.8212601895681335,0.821233585863849,0.821263313076678,0.9999999999999999,0.8212441393762909,0.8202734665744299,0.6174534810466836,0.8212808116494764,0.9940766263253417,0.991406011536856,0.8212425072578046,0.9035529735083883,0.623756155735367,0.8212748447247122,0.8216808943017697,0.4710162519215101,0.8495427743676429,0.8212670611810075,0.8212567533373814,0.8212332422239491,0.556722626766861,0.8212507815632233,0.912119402655448,0.7060343010910143,0.9405420557812063,0.6439004658773556,0.8212628845420957,0.9718293612878334,0.9328525462035063,0.8212564236097524,0.9031228799553414,0.8212741822685389,0.8212396973201619,0.9583280344247267,0.9157281845309345,0.5456767802947091,0.8093094910971945,0.9734303235599708,0.8212534990744188,0.5564987909177492,0.8208290929260137,0.5582698543832831,0.7943412318665676,0.821213051344132,0.5610011938085128,0.5565463689610461,0.8212655261422236,0.9113375937905417,0.8212185312135071,0.5565645080924864,0.8212565514562679,0.014526494568254812,0.5565037553633213,0.0519083816210237,0.5566245043555035
fer,0.9998267347713387,0.0816051158770188,0.9956570281747751,0.9998125974104892,0.9998304567818944,0.058037574577262385,0.8566321893873609,0.9998396938191478,0.99982379620198,0.9998370003124715,0.9997763702190989,0.999975772980828,0.8212441393762909,1.0000000000000002,0.9992217416218457,0.06282641549317818,0.9998384893134097,0.8326122057537086,0.7417809812757885,0.9999885353620869,0.4998207461860734,0.08447762585790848,0.9998982900927457,0.9999332839205497,0.04740551224436698,0.4101871793755495,0.9998746849773223,0.9998312881324701,0.9997807783817234,0.00032114968408919963,0.9998214783181905,0.9820319622903182,0.24035523777012371,0.963024781442184,0.20975109792960406,0.9998465274161309,0.9321501414787259,0.9692132232663838,0.9998117411828462,0.5112903360205716,0.9999898296337021,0.9997921076562686,0.9444900267679416,0.5485830433176174,0.061073914647390426,0.3350210112419328,0.7045075657272017,0.9998234152523168,3.0217901358293785e-05,0.9995455395233582,0.0026768222187565456,0.3067516941736908,0.9999582192440887,0.026046579219466834,0.00012627190172014857,0.999865614589799,0.9759054356695465,0.9997446923938208,0.0001843048768889552,0.9999939712537249,0.02711238521735258,3.602247088965619e-05,0.07227714686736987,0.0003707262753590326
pcr,0.9983160968949426,0.08157519294992256,0.9940933019147199,0.9982764203222314,0.9983282022976152,0.05803832220628759,0.855701291803234,0.9983556098950138,0.9983081845453008,0.9983476793389093,0.9981684667877714,0.998981234279001,0.8202734665744299,0.9992217416218457,1.0,0.06281954495902098,0.998353846848475,0.8316357156450468,0.7408072437607589,0.9992124084563864,0.49923207059708163,0.08481953539388337,0.9985647530471136,0.9995741563235084,0.04828039593494711,0.409794535054868,0.9984828864764959,0.9983311175604663,0.9981846568914472,0.0004345131898549018,0.9983053414686355,0.980540222369603,0.24112158128912484,0.9614798796586552,0.2097340394336411,0.9983789052174095,0.9319137281045544,0.9686272976686814,0.9982746069296954,0.5109645074388475,0.9990369539485591,0.9982147189504782,0.9442236581376239,0.5484012883292496,0.06135772985319882,0.3354509259918722,0.7042446053860081,0.9983070016132528,7.559032459270216e-05,0.999316967906333,0.0036785283104750115,0.3064435213976956,0.9992339253049397,0.033643861803841844,0.00029280181339298126,0.9984480852970912,0.9786833951849667,0.9980810702734935,0.00047248886868073094,0.9991547978557956,0.06509909232784475,8.740871583331435e-05,0.10976075389559288,0.0009207001045943561
bog,0.06280945361295469,0.9987723815846055,0.15322102882065233,0.06280325630561051,0.06280425145125318,0.998990761603574,0.5667047034100767,0.062830956877746,0.06279144372668574,0.06279516074846973,0.06278472870342656,0.06280842597742708,0.6174534810466836,0.06282641549317818,0.06281954495902098,0.9999999999999998,0.06281263359307748,0.6032363121530957,0.7144701642270913,0.06283769820324277,0.8949353250259943,0.9936017204539033,0.06279953124492313,0.06377012584859618,0.682462046211053,0.9343066245450267,0.06279462840232052,0.06279270234035587,0.06278369540274416,0.9919039204926816,0.06278868125760649,0.24139855556147125,0.8574099859916336,0.3269439654609499,0.7753644085805443,0.06279555802573718,0.41810969588694685,0.3049498029399682,0.06279664786798715,0.8883558852266348,0.06282179670089,0.06278644599547446,0.38506543872866655,0.8637488064616978,0.8109878074765193,0.9387607430894401,0.7481694008747395,0.06279239661904815,0.9918858910756393,0.06293363612346553,0.9917068146428093,0.9672165726656996,0.06283755219687534,0.966457719750227,0.991880992677487,0.06279501195185376,0.2586010947138661,0.06278066648258027,0.9918810355932877,0.06283203377431472,0.0029079210028804176,0.9918881173535327,0.0062004994163125686,0.9918111945887111
mor,0.999999745636409,0.08158416796791583,0.9958599728512324,0.9999987124723786,0.9999998862984161,0.05801511069354384,0.8566090300318137,0.9999994114969697,0.999999637180281,0.9999997958616188,0.9999948045564311,0.9999185325808916,0.8212808116494764,0.9998384893134097,0.998353846848475,0.06281263359307748,1.0,0.8326191131959132,0.7418594217830414,0.9998194079080023,0.4998519597484281,0.084272122491054,0.9999922745908169,0.9995758310493944,0.04711784874597204,0.41015834775027227,0.9999958977442761,0.9999998908571012,0.9999949567777633,0.00026645602897772477,0.9999985201372249,0.9822183962714391,0.23997533143705055,0.963233727528367,0.2097641015290449,0.9999998448398826,0.9317856353919448,0.9689676395565133,0.9999985662656442,0.5111776384336687,0.9999067438127881,0.9999968865590866,0.9441230469910042,0.5483734902481564,0.06101546241898134,0.33469357346888506,0.7042579914140548,0.9999994866532882,8.411303387374752e-06,0.9990991813710655,0.0022018724076154667,0.30675892250917697,0.9997611128766551,0.022405726513386258,4.158319128532522e-05,0.9999980424233869,0.974147305945313,0.9999890831457694,4.8818137435948695e-05,0.9998561366647587,0.00960570259128526,1.0610411724264059e-05,0.05481718207208477,0.00010592125461324086
cha,0.8326153153718427,0.619541137062968,0.8792302732735278,0.8325998799224608,0.8326147132494133,0.6008060536868173,0.998977102351787,0.8326308412715574,0.8326080947928466,0.832620938671924,0.832583905000326,0.8326025897832627,0.9940766263253417,0.8326122057537086,0.8316357156450468,0.6032363121530957,0.8326191131959132,1.0000000000000002,0.9852437478659567,0.832641995568433,0.8921426707649345,0.6217185400700218,0.8326267561852467,0.8329836469726281,0.3832151411573029,0.8464794152470275,0.8326129207046048,0.8326122877882295,0.8325799294607744,0.553702805084956,0.8325970078266356,0.9148714212566538,0.6449037185186606,0.9506593985538047,0.5695477042436432,0.8326215952943772,0.973414244251164,0.9431767279889306,0.8325977685171165,0.9015002619819283,0.8326425085389269,0.8325904349026232,0.9680225348647769,0.919463471249977,0.47175300862199876,0.7774891893245943,0.9793096878012466,0.8326117831545284,0.5534662526597701,0.8323733278392135,0.5553363347580677,0.7770799966494837,0.8326016829045487,0.5592133621000515,0.5535551508734263,0.8326168144389866,0.9217922569036714,0.8325677982356927,0.553546862628738,0.8326460975531489,0.014955060112997966,0.5534752704286686,0.054320962424926414,0.5536457518589468
lta,0.7418553802643841,0.7248285141837053,0.7996464175578892,0.7418481079657018,0.7418502140308237,0.7085305879938196,0.9774829768075015,0.7418779509189363,0.7418363423207485,0.7418403505574299,0.7418241678530901,0.7418134913158148,0.991406011536856,0.7417809812757885,0.7408072437607589,0.7144701642270913,0.7418594217830414,0.9852437478659567,1.0000000000000002,0.7417773202240989,0.9514890924627022,0.7205062497157487,0.7418444643694756,0.7422823536773248,0.5217874791434298,0.911129577974884,0.7418411372527858,0.7418381367489378,0.7418235801512947,0.6605514222049726,0.7418338523386233,0.85142710828686,0.7633148349381222,0.891953930356166,0.6927397727690877,0.7418415454226601,0.9338574791097932,0.8813754855283898,0.7418408834399205,0.9512154638809328,0.7418185111834851,0.7418279382962335,0.9173501767622435,0.9589536728786239,0.6114504983660967,0.8724318505971155,0.9911375521103348,0.7418364806270252,0.6603550524635817,0.7413699078413324,0.661824186935602,0.865797143893273,0.7417439714157306,0.6595053390797228,0.660383392518901,0.7418414619933993,0.8542921957048359,0.7418144324601974,0.6603935030308843,0.7417950747889404,0.010595857041578317,0.6603588629231617,0.04438802781948611,0.6604087637102825
imf,0.9998083168428846,0.08161684913754522,0.9956333096176421,0.9997890790378398,0.9998113605329194,0.058049371253341364,0.856646426418004,0.999825621168583,0.9998034814938542,0.9998207762050049,0.9997535699718831,0.999943750374539,0.8212425072578046,0.9999885353620869,0.9992124084563864,0.06283769820324277,0.9998194079080023,0.832641995568433,0.7417773202240989,1.0,0.49982018750197665,0.084499897426643,0.9998753477001526,0.9999429677403049,0.04741180169240835,0.41019667471869603,0.9998483671891099,0.9998117196537337,0.9997547115031221,0.00033237927759494334,0.9997966310042092,0.9820116234214348,0.2403662678088948,0.9630026183409128,0.20976091206611477,0.9998288852543384,0.9321566958544383,0.9692443709123078,0.9997876299863925,0.5113033505970174,0.9999800206693279,0.9997690417877347,0.94448642397933,0.5486091511135575,0.06111632771746799,0.33505449341559307,0.7045221839229753,0.9998046335200385,3.4668622089794094e-05,0.9996616271293927,0.002739384458923685,0.30675922727824956,0.999974188444186,0.02667651615441851,0.00015975837013365875,0.9998420110300137,0.975875120784506,0.9997204329954653,0.00020068771565298938,0.9999967230508451,0.027650330002409174,4.3647458454895484e-05,0.07362729383075335,0.0004249468970768371
