,mel,afi,d4r,bea,cas,nsc,d6r,mfi,bik,mtt,ddr,mwf,sod,fer,pcr,bog,mor,cha,lta,imf,dzc,can,non,pau,mei,sti,mtn,jbw,stf,aft,bre,lau,gis,ast,nat,ton,dsc,afs,mtw,gme,doh,rth,d8r,ats,abw,dcc,lev,rut,atn,ltl,bph,clo,lov,mso,dnc,rte,phi,d3r,afy,vsv,los,aww,eab,ave
dzc,0.0,0.00015611574664959802,0.0,0.0,0.011744268478392472,0.0,0.0,0.0,0.005775866609517511,0.07131404725253972,0.0,0.0,0.0,0.0,0.0,0.00035480440018898743,0.0,0.0,0.0,0.0,0.9999999999999999,0.030944677533205168,0.0,0.0,0.006435306270778344,0.0,0.0,0.0077301084395711706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052106013616136586,0.0,0.0,0.0001435583119876172,0.0,0.0,0.0,0.0,0.27704034406312716,0.43763357718871654,0.0,0.0,0.0,0.20172375976838297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
can,0.0,0.0,0.0,0.0,0.0,0.0,0.10335520156292576,0.0,0.0,0.0,0.0,0.0,6.046175981601442e-05,0.0,0.0,0.0,0.0,0.0,8.812679484660897e-05,0.0,0.030944677533205168,0.9999999999999999,0.0,0.00036431563260626776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43296129824994584,0.0,0.0,0.1392468510132793,0.0,0.0,0.0,0.0,0.0,0.0,0.0008789995203278768,0.0,0.0,0.5727632394436175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21474650941810092,0.0,0.0,0.03303792452586168
non,0.0,0.0,0.2222142526973937,0.0,0.08864646566870227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40416118506726934,0.0,0.0,0.0573161561461591,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49014073245927875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pau,0.0,0.0,0.0,0.0,0.0,0.0,0.005830523219044484,0.0,0.0,0.0,0.0,0.3533377304466937,0.0,0.0,0.0,0.0,0.0,0.0,0.030885139542343776,0.0,0.0,0.00036431563260626776,0.0,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03692010079295222,0.0,0.0,0.0,0.00035777467598720127,0.0,0.0,0.0,0.0,0.0,0.5805045915287218,0.0,0.0,0.17134631993338162,0.0,0.0,0.0,0.0006360667157343481,0.0,0.0,0.0,0.0,0.0,0.0,0.0856151299585583,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mei,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006847798890119045,0.0,0.0,0.0,0.0,0.006435306270778344,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.00010524995903633908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sti,0.0,0.0,0.00048616205148386285,0.0,0.008817868700972436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003624348213417352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.04361322902026512,0.003961725956858974,0.0,0.0,0.0,0.0,0.006596561336781573,0.0,0.015246457655221585,0.0,0.0,0.0,0.01048309657083367,0.0,0.0,0.0,0.0,0.0,0.03923693523271323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08722576450512726,0.0,0.0
mtn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7077876098894876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16621550737523144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jbw,0.0,0.0,0.0,0.0,0.20638418192010613,0.0,0.0,0.0,0.9993745487787715,0.5695187309080282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0077301084395711706,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41612209502359593,0.0,0.0,0.3568467389410591,0.0,0.0,0.0,0.0,0.0,0.001845362967677348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stf,0.046253173521691414,0.0,0.1433597727454544,0.0010720213373043312,0.05758007540745669,0.0,0.0,0.0,0.0,0.03667296747330345,0.0,0.0,0.0,0.03181216021889803,0.0,0.0,0.015857913727483533,0.0,0.0,0.09929769266125572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000002,0.0,0.14681227452657575,0.33222769094539745,0.0,0.0,0.0,0.0,0.0,0.0,0.005548858137053496,0.0,0.0,0.0,0.0,0.08510282355928991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aft,0.0,0.0,0.0,0.0,0.0,0.0,0.039503591615941885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4225592680938168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
